hash,message,hashes_of_parents,is_merge_commit,list_of_modified_files
f86aacae447725d6d0edd787d620fad54ac1b187,"[eslint config] [fix] jsx should be enabled via parserOptions, not via a root ecmaFeatures.

From https://github.com/airbnb/javascript/issues/1410#issuecomment-303368921",['0dd3dbd7b62061e1ca3d1c5467ed3fbca1e5daf6'],False,"['react-a11y.js', 'react.js']"
0f8f30dcd0b8292a9e49148fa6f77046aadbeee2,"[6.5] Add no-eval eslint rule to docs

Add reference to the eslint `no-eval` rule to the README.

This rule is already set to `error` in best-practices.js in eslint-airbnb-config-base.",['44ca3c2b3a1650ae5b8961ff3d5f3d166fde52db'],False,['README.md']
f3c9639abe26bd03339f13dc1ab21868399c5beb,[eslint config] [base] [patch] Allow jsx extensions for test files,['0f8f30dcd0b8292a9e49148fa6f77046aadbeee2'],False,['imports.js']
98f2224ec2f4378028cbb61a62dbbaa44a2fcc56,"Add linting for Markdown prose

Codify existing practices for writing Markdown in style guides and
enforce them via Markdownlint. A new npm script ""lint"" in the top level
package.json runs before tests or as the first step of the ""travis""
script.

Only modify documents in cases where they had bugs or isolated cases of
inconsistency:

README.md: 10: MD007 Unordered list indentation
Inconsistent with all other top level lists

README.md: 10: MD032 Lists should be surrounded by blank lines
Some Markdown parsers don't handle this correctly

README.md: 3156-3161: MD005 Inconsistent indentation for list items at
                      the same level
Bug, looks like it's intended to be another list level but GitHub
renders it at the same level as the ""No but seriously""

README.md & css-in-javascript/README.md: throughout: MD012 Multiple
          consecutive blank lines

README.md: throughout: MD004 Unordered list style
Some nested lists used plusses, now everything consistently uses
dashes.",['ac6de2fdb8c185597998aa4bf1cc35358d4a3d28'],False,"['README.md', 'README.md', '.markdownlint.json', 'package.json']"
1a38734d63a3624887de6c5ffa5602b4da9d3db4,[Tests] npm v4.6+ breaks in node < v1; npm 5+ breaks in node < v4,['5ba31498feaec1c977008b62c2768f4ea5d498df'],False,['.travis.yml']
721af5498fade08b3a5fe9e613aa6e33baa51e37,[Tests] on `node` `v8`,['1a38734d63a3624887de6c5ffa5602b4da9d3db4'],False,['.travis.yml']
00c9e52aec17b9a44fbf03494a931346e8f090de,"[eslint config] [base] [minor] Balanced spacing for inline block comments

Fixes #1425.",['721af5498fade08b3a5fe9e613aa6e33baa51e37'],False,['style.js']
fd8cbec8e0b312dcf31a579fe3b1e7098ae0bfe7,[guide] change straight quotes to curly quotes,['1bbac742862720fd6905712ccf87cae45f327307'],False,['README.md']
cd4ec6245ef0b3d3fcb9bbef89bf34ea0ec0c7fb,[guide] change more straight quotes to curly quotes,['4499ee0094239c1e02506ee30c2a3945aa032591'],False,['README.md']
7bb8c9f905b4bc34e57ef39002cbfb32818cd003,"[guide] Fix iterator code example error

The first ""good"" example was missing a closing bracket (line 1377).",['cd4ec6245ef0b3d3fcb9bbef89bf34ea0ec0c7fb'],False,['README.md']
0c9e22e039d7a1ad8a522768991db2ad431d3d69,"[guide] replacing undefined with ReferenceError

Fixes #1457",['7bb8c9f905b4bc34e57ef39002cbfb32818cd003'],False,['README.md']
cd720b4c7bededa4edda232e9e9e6b5e3b5a438d,"[eslint config] [*] [docs] add yarn instructions

Fixes #1462.",['4380284b05337f6e48798ff4fd76ab606d5adf94'],False,"['README.md', 'README.md']"
2666db559dc0ef41887a1138cff4f59b3879892a,Fix typo in a11y for yarn,['cd720b4c7bededa4edda232e9e9e6b5e3b5a438d'],False,['README.md']
d806859320b198eeb850966ed5d091828bc55b64,[Tests] run prepublish tests as allowed failures,['c68fa632624f088b4bbe81192a50554b0c6af970'],False,['.travis.yml']
fc7fae620f625701a5614fb9cf9ec1e9c49bcc70,[Tests] add pretravis/posttravis scripts,['7768e01625fd7136872dca2a8bf7ef407fd19df5'],False,"['.travis.yml', 'package.json', 'package.json']"
